Economy,Value
Afghanistan,0.15
Australia,0.01
Bangladesh,0.02
Bhutan,0.03
Brunei Darussalam,0.01
Cambodia,0.12
China,0.00
Fiji,0.02
Hong Kong,0.00
India,0.03
Indonesia,0.06
Japan,0.01
Korea,0.01
Laos,0.07
Macao,0.01
Malaysia,0.02
Maldives,0.03
Marshall Islands,0.12
Micronesia,0.06
Mongolia,0.02
Myanmar,0.15
Nepal,0.1
New Zealand,0.01
Pakistan,0.13
Papua New Guinea,0.12
Philippines,0.11
Samoa,0.15
Singapore,0.01
Solomon Islands,0.48
Sri Lanka,0.01
Thailand,0.03
Timor-Leste,0.3
Tonga,0.04
Tuvalu,0.14
Vanuatu,0.3
Viet Nam,0.03
